"page","viewport","overflow","scrollWidth","offenders"
"ressources/activite-03-fiche-eleve-musee.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-museum"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-03-guide-enseignant.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":403,""cw"":343,""right"":359},{""tag"":""TABLE"",""cls"":""observation-table"",""id"":"""",""w"":539,""cw"":297,""right"":336},{""tag"":""CAPTION"",""cls"":"""",""id"":"""",""w"":539,""cw"":539,""right"":578},{""tag"":""THEAD"",""cls"":"""",""id"":"""",""w"":538,""cw"":538,""right"":578},{""tag"":""TR"",""cls"":"""",""id"":"""",""w"":538,""cw"":538,""right"":578}]"
"ressources/activite-03-guide-enseignant.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-03-guide-enseignant.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-03-guide-musee.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-museum"",""id"":"""",""w"":403,""cw"":343,""right"":359},{""tag"":""TABLE"",""cls"":""observation-table"",""id"":"""",""w"":353,""cw"":297,""right"":336},{""tag"":""CAPTION"",""cls"":"""",""id"":"""",""w"":353,""cw"":353,""right"":392},{""tag"":""THEAD"",""cls"":"""",""id"":"""",""w"":352,""cw"":352,""right"":392},{""tag"":""TR"",""cls"":"""",""id"":"""",""w"":352,""cw"":352,""right"":392}]"
"ressources/activite-03-guide-musee.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-museum"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-03-guide-musee.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-museum"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-03-prolongement-illustration-ia.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":403,""cw"":343,""right"":359},{""tag"":""TABLE"",""cls"":""source-vs-interpretation"",""id"":"""",""w"":306,""cw"":297,""right"":336}]"
"ressources/activite-03-prolongement-illustration-ia.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
"ressources/activite-03-prolongement-illustration-ia.html","1440x1000","false","1425","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-critical"",""id"":"""",""w"":1180,""cw"":1120,""right"":1273}]"
"ressources/activite-03-questionnaire.html","375x812","false","375","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":403,""cw"":343,""right"":359}]"
"ressources/activite-03-questionnaire.html","768x1024","false","753","[{""tag"":""SECTION"",""cls"":""document-hero document-hero-school"",""id"":"""",""w"":773,""cw"":713,""right"":733}]"
